file	title	year	words	publication
suif	Boule de suif	1875	13998	Guy de Maupassant : Boule de suif. Texte publié dans le recueil collectif Les soirées de Médan (pp. 51-105) paru le 16 avril 1880 aux Éditions Charpentier. Il a également été repris dans le recueil Contes et nouvelles (Charpentier, 1885).
coco	Coco, Coco, Coco frais !	1875	1237	Guy de Maupassant : « Coco, coco, coco frais ! ». Texte publié dans La Mosaïque du 14 septembre 1878, sous la signature de Guy de Valmont.
jadis	Jadis	1875	1531	Guy de Maupassant : Jadis. Texte publié dans Le Gaulois du 13 septembre 1880 sous une première forme, Les conseils d’une grand-mère, puis sous une seconde forme, Jadis, dans Gil Blas du 30 octobre 1883, sous la signature de Maufrigneuse ; publié ensuite dans le recueil posthume Le colporteur (pp. 87-97). Il a également été repris dans le supplément littéraire du Figaro du 9 janvier 1892, dans La Vie populaire du 16 octobre 1892 et dans Gil Blas illustré du 30 octobre 1892.
ecorche	La main d’écorché	1875	2049	Guy de Maupassant : La main d’écorché. Texte publié dans L’Almanach lorrain de Pont-à-Mousson de 1875, sous la signature de Joseph Prunier.
gloss	Le docteur Héraclius Gloss	1875	15692	Guy de Maupassant : Le docteur Héraclius Gloss. Texte publié dans La Revue de Paris des 15 novembre et 1er décembre 1921. Le texte a sans doute été écrit dans les derniers mois de 1875.
donneur	Le donneur d’eau bénite	1875	1528	Guy de Maupassant : Le donneur d’eau bénite. Texte publié dans La Mosaïque du 10 novembre 1877, sous la signature de Guy de Valmont.
lare	Le mariage du lieutenant Laré	1875	1400	Guy de Maupassant : Le mariage du lieutenant Laré. Texte publié dans La Mosaïque du 25 mai 1878, sous la signature de Guy de Valmont.
simon	Le papa de Simon	1875	3145	Guy de Maupassant : Le papa de Simon. Texte publié dans La Réforme politique et littéraire du 1er décembre 1879, puis publié dans le recueil La maison Tellier (pp. 193-215). Il a également été repris dans Lyon républicain du 13 juin 1880, dans le supplément littéraire de La Lanterne du 17 mars 1889, dans le supplément littéraire illustré du Petit Parisien du 2 juin 1889 et dans L’Intransigeant illustré du 25 septembre 1890. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1899.
dimanches	Les dimanches d’un bourgeois de Paris	1875	18561	Guy de Maupassant : Les dimanches d’un bourgeois de Paris. Texte publié dans Le Gaulois du 31 mai au 16 août 1880.
suicides	Suicides	1875	1810	Guy de Maupassant : Suicides. Texte publié dans Le Gaulois du 29 août 1880 sous une forme un peu différente et intitulé Comment on se brûle la cervelle, puis, remanié, dans Gil Blas du 17 avril 1883, sous la signature de Maufrigneuse. Enfin, publié dans le recueil Les sœurs Rondoli (pp. 255-268). Il a également été repris dans les Annales politiques et littéraires du 10 août 1884, dans L’Écho de la semaine du 7 juillet 1889, dans le supplément littéraire de La Lanterne du 27 février 1890, dans le supplément littéraire illustré du Petit Parisien du 10 août 1890, dans L’Intransigeant illustré du 30 avril 1891 et dans le supplément illustré du Petit Journal du 29 octobre 1892. Vous pouvez consulter la version illustrée par René Lelong, aux éditions P. Ollendorff, 1907.
