file	title	words
texte_sur_une_seule_page	Texte sur une seule page	68102
le_mystere_de_marie_roget	Le Mystère de Marie Roget	21069
le_joueur_d_echecs_de_maelzel	Le Joueur d’échecs de Maelzel	9714
eleonora	Éléonora	2722
un_evenement_a_jerusalem	Un Événement à Jérusalem	1565
l_ange_du_bizarre	L’Ange du Bizarre	4035
le_systeme_du_docteur_goudron_et_du_professeur_plume	Le Système du docteur Goudron et du professeur Plume	7708
le_domaine_d_arnheim	Le Domaine d’Arnheim	6436
le_cottage_landor	Le Cottage Landor	5180
philosophie_de_l_ameublement	Philosophie de l’Ameublement	2654
la_genese_d_un_poeme	La Genèse d’un poëme	7162
