file	title	words
texte_sur_une_seule_page	Texte sur une seule page	105398
edgar_poe_sa_vie_et_ses_uvres	Edgar Poe, sa vie et ses œuvres	8612
double_assassinat_dans_la_rue_morgue	Double assassinat dans la rue Morgue	14506
la_lettre_volee	La Lettre volée	7567
le_scarabee_d_or	Le Scarabée d’or	14710
le_canard_au_ballon	Le Canard au ballon	5421
aventure_sans_pareille_d_un_certain_hans_pfaall	Aventure sans pareille d’un certain Hans Pfaall	18846
manuscrit_trouve_dans_une_bouteille	Manuscrit trouvé dans une bouteille	4690
une_descente_dans_le_maelstrom	Une descente dans le Maelstrom	7237
la_verite_sur_le_cas_de_m_valdemar	La Vérité sur le cas de M. Valdemar	3640
revelation_magnetique	Révélation magnétique	3985
les_souvenirs_de_m_auguste_bedloe	Les Souvenirs de M. Auguste Bedloe	4185
morella	Morella	2351
ligeia	Ligeia	6152
metzengerstein	Metzengerstein	3381
le_mystere_de_marie_roget	Le Mystère de Marie Roget	21098
