file	title	words
texte_sur_une_seule_page	Texte sur une seule page	88171
notes_nouvelles_sur_edgar_poe	Notes nouvelles sur Edgar Poe	6999
le_demon_de_la_perversite	Le Démon de la perversité	2595
le_chat_noir	Le Chat noir	4093
william_wilson	William Wilson	8362
l_homme_des_foules	L’Homme des foules	3798
le_c_ur_revelateur	Le Cœur révélateur	2370
berenice	Bérénice	3954
la_chute_de_la_maison_usher	La Chute de la maison Usher	7439
le_puits_et_le_pendule	Le Puits et le pendule	6602
hop_frog	Hop-Frog	3820
la_barrique_d_amontillado	La Barrique d’amontillado	2532
le_masque_de_la_mort_rouge	Le Masque de la mort rouge	2448
le_roi_peste	Le Roi Peste	5032
le_diable_dans_le_beffroi	Le Diable dans le beffroi	3517
lionnerie	Lionnerie	1889
quatre_betes_en_une	Quatre Bêtes en une	2830
petite_discussion_avec_une_momie	Petite Discussion avec une momie	6634
puissance_de_la_parole	Puissance de la parole	1592
colloque_entre_monos_et_una	Colloque entre Monos et Una	3562
conversation_d_eiros_avec_charmion	Conversation d’Eiros avec Charmion	2128
ombre	Ombre	1061
silence	Silence	1449
l_ile_de_la_fee	L’Île de la Fée	2106
le_portrait_ovale	Le Portrait ovale	1387
